id,name,sex,ioc,age,ht,hand,rank,df_mean,1stIn_mean,2ndWon_mean,SvGms_mean,bpSaved_mean,bpFaced_mean,tot_games,winrate,ace_on_service(%),df_on_service(%),point_on_first_service(%),Hard_win(%),Clay_win(%),Grass_win(%),Carpet_win(%),Hard_los(%),Clay_los(%),Grass_los(%),Carpet_los(%),Best_Surface,Worste_Surface,tie_break_rate(%)
105935,Duilio Beretta,Male,PER,25,185,R,1428,1,27,12,8,2,2,1.0,100.0,4.76,2.38,77.78,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay,None,0.0
126502,Luis Diego Chavez Villalpando,Male,ESP,22,185,U,1581,2,43,14,11,3,4,1.0,100.0,5.71,2.86,74.42,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay,None,0.0
138845,Anthony Jackie Tang,Male,HKG,19,185,U,1519,4,41,22,11,4,7,1.0,100.0,7.41,4.94,70.73,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hard,None,100.0
202165,Alberto Lim,Male,PHI,18,185,R,1371,5,37,15,10,4,6,1.0,100.0,13.85,7.69,72.97,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hard,None,0.0
134886,Sharmal Dissanayake,Male,SRI,21,185,R,1455,5,46,9,11,2,7,1.0,100.0,1.52,7.58,56.52,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay,None,0.0
215008,Siyu Chen,Female,CHN,22,177,U,1231,3,43,12,10,3,6,1.0,100.0,2.9,4.35,67.44,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay,None,0.0
202365,Lavinia Tananta,Female,INA,29,177,R,1061,3,42,9,10,2,5,2.0,100.0,1.54,4.62,67.86,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hard,None,0.0
103813,Jarkko Nieminen,Male,FIN,34,185,L,623,2,64,15,16,6,7,1.0,100.0,1.02,2.04,87.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Carpet,None,100.0
200416,August Holmgren,Male,DEN,18,185,R,1476,5,55,21,12,7,8,1.0,100.0,6.74,5.62,69.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hard,None,100.0
221004,Amarissa Kiara Toth,Female,HUN,18,177,U,1254,3,43,12,10,3,6,1.0,100.0,2.9,4.35,67.44,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay,None,0.0
208214,Arnaud Bovy,Male,BEL,19,185,L,693,1,66,14,14,1,5,1.0,0.0,5.62,1.12,60.61,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
207323,Simon Yitbarek,Male,SWE,18,185,U,806,0,38,9,10,1,5,1.0,0.0,3.39,0.0,60.53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
105566,Shahin Khaledan,Male,IRI,27,185,R,1331,5,47,18,11,8,12,1.0,0.0,1.14,5.68,61.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
105812,David Agung Susanto,Male,INA,26,185,U,1402,5,52,9,9,6,10,3.0,33.33,4.48,6.73,63.46,33.33,0.0,0.0,0.0,66.67,0.0,0.0,0.0,Hard,Hard,0.0
202462,Yasitha De Silva,Male,SRI,22,185,U,1674,1,37,11,9,2,5,2.0,0.0,9.01,2.7,60.81,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
200214,Alan Fernando Rubio Fierros,Male,MEX,19,185,U,1585,6,37,12,12,7,14,1.0,0.0,0.0,8.45,56.76,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
207836,Muzammil Murtaza,Male,PAK,18,185,R,1770,4,33,6,8,2,7,1.0,0.0,7.84,7.84,54.55,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,None,Grass,0.0
138846,Hong Kit Jack Wong,Male,HKG,19,185,R,1164,3,48,8,8,8,12,1.0,0.0,0.0,4.35,58.33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
124022,Chun Hun Wong,Male,HKG,22,185,R,978,2,50,16,11,5,6,2.0,0.0,2.68,2.68,66.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
207400,Mark Chigaazira,Male,ZIM,19,185,R,1322,3,30,7,9,0,3,1.0,0.0,0.0,6.38,66.67,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
207479,Soufiane El Mesbahi,Male,MAR,17,185,R,1533,6,21,5,8,0,5,1.0,0.0,0.0,14.63,57.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
202157,Amaury Delmas,Male,FRA,20,185,U,1394,6,31,9,8,6,11,1.0,0.0,0.0,10.0,58.06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
207368,Mert Alkaya,Male,TUR,17,185,U,1471,2,35,7,8,4,10,1.0,0.0,0.0,3.7,48.57,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
138431,Darko Bojanovic,Male,BIH,21,185,R,958,1,26,9,8,1,5,1.0,0.0,8.7,2.17,53.85,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
200062,Boris Fassbender,Male,FRA,20,185,R,1551,2,40,10,7,9,13,1.0,0.0,3.28,3.28,45.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
215889,Kaitlin Staines,Female,AUS,17,177,U,902,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,None,Grass,0.0
203357,Libby Muma,Female,USA,23,177,U,1025,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
215185,Zhou Mingjun,Female,CHN,18,177,U,1234,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,None,Hard,0.0
214193,Simona Heinova,Female,CZE,20,177,U,966,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
209866,Grace Leake,Female,USA,27,177,L,1226,3,43,10,10,4,9,2.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
216240,Anne Marie Medcalf,Female,AUS,19,177,U,1252,3,43,10,10,4,9,3.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,None,Hard,0.0
215507,Livia Kraus,Female,AUT,18,177,U,1174,3,43,10,10,4,9,2.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
214958,Natalia Nikolopoulou,Female,GRE,17,177,L,1214,3,43,10,10,4,9,4.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
216063,Tingting Pei,Female,CHN,17,177,U,1063,3,43,10,10,3,8,7.0,14.29,1.62,4.24,59.47,14.29,0.0,0.0,0.0,42.86,42.86,0.0,0.0,Hard,Hard,0.0
216236,Adrienn Horvath,Female,HUN,16,177,R,1230,3,43,10,10,4,9,1.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
